dataset,dataset_label,rank,rmse_tucker_refit,rmse_polycal_refit,sam_tucker_refit,sam_polycal_refit,link_score,residual_explained,ntdpl_gain_pct,delta_sam
jasper_ridge_hsi,Jasper Ridge,"(11, 11, 43)",0.046225763857364655,0.04556455463171005,9.139947514090306,8.875889706894508,0.014303911292733753,0.028403354349045062,6.925486333518606,0.9805756192027424
samson_hsi,Samson,"(10, 10, 35)",0.02625727839767933,0.026070423424243927,5.700860051778649,5.529058049183844,0.007116311546284116,0.014182027222771842,7.948918733035425,0.0573301936327865
urban_hsi,Urban,"(43, 43, 47)",0.044430047273635864,0.04412497580051422,8.214971703843753,7.892443066124722,0.006866332399845723,0.013685556610918304,3.593862648031209,0.2883233621013863
cuprite_hsi,Cuprite,"(35, 26, 54)",0.017594339326024055,0.017591567710042,1.3023079242586162,1.301757917465139,0.00015752884667605136,0.0003151433921237956,-0.5968876599152698,-0.0371667920996525
