image_id,seed,missing_rate,method,rank,target_shape,observed_rate,RMSE_missing,PSNR_missing,SSIM_missing,SAM_missing,NMSE_dB_missing,RMSE_all,PSNR_all,SSIM_all,fit_time_sec,run_dir
1,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.0788569524884224,22.063200294133495,0.8840978198986486,1.528290776490608,-14.96870513016188,0.06528028845787048,23.704358022451135,0.7814070700204598,0.7503677000058815,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim01_seed0_ntdpl
1,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07796069234609604,22.162486203467534,0.8862972022069566,1.5018135169123565,-15.067991945021697,0.0647701844573021,23.772497862104423,0.7825215237190299,0.14805850002449006,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim01_seed0_tucker
2,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.06207535043358803,24.141616475825195,0.9563793484775068,1.8222766597544613,-15.415415530236876,0.04854920506477356,26.276357130446023,0.7015995327812629,0.7243480000179261,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim02_seed0_ntdpl
2,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.06242762878537178,24.092463341793643,0.9560744156909553,1.877877547562009,-15.366262231499404,0.048697181046009064,26.249923193877883,0.7040722974572425,0.20156859990675002,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim02_seed0_tucker
3,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.09211184084415436,20.713691022212593,0.871188515386927,3.2713070505583675,-13.135096022111096,0.0758095532655716,22.40552114635107,0.6461505883294837,0.7016443000175059,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim03_seed0_ntdpl
3,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.09172052890062332,20.750668823037582,0.87196647046781,3.4261731408094387,-13.172074310277083,0.07569225132465363,22.41897161008541,0.644127841682617,0.19420780008658767,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim03_seed0_tucker
4,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07050900906324387,23.035108332111733,0.9300812160902416,2.562136879492797,-15.634386354517808,0.058338481932878494,24.680897317328906,0.7112200125844511,0.7007409000070766,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim04_seed0_ntdpl
4,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07038159668445587,23.05081729099911,0.9302654578616429,2.5972070895159565,-15.650096069086842,0.05831655487418175,24.684162177717738,0.711612567051947,0.1686075999168679,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim04_seed0_tucker
5,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.14370256662368774,16.850709161238726,0.7136278676266822,4.020822307926436,-8.160434381066214,0.11843869090080261,18.530128320915743,0.621132871795863,0.6999575000954792,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim05_seed0_ntdpl
5,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.14342240989208221,16.867660308503215,0.7116241372417837,6.227419912730046,-8.177385346760769,0.11933745443820953,18.46446495543002,0.6119486991674777,0.19696219998877496,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim05_seed0_tucker
6,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.0852295383810997,21.388197791003428,0.936099244071359,1.572663485319954,-16.199770415884995,0.06730686128139496,23.43881312679105,0.6778644195971614,0.7121098000789061,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim06_seed0_ntdpl
6,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.08608882129192352,21.301064431567273,0.9349652020307653,1.5383006225925029,-16.1126376748214,0.06781331449747086,23.37370106341421,0.6763529154112847,0.2053396999835968,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim06_seed0_tucker
7,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.08804894983768463,21.1055165561158,0.8551672482799383,3.085513028192475,-13.971204496478062,0.07263156771659851,22.77749139123868,0.7295725149863999,0.7170208999887109,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim07_seed0_ntdpl
7,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.08751735836267471,21.15811544295226,0.8561800555349153,2.9724267853547497,-14.023803645951354,0.07237935811281204,22.807705343669088,0.7298141454285846,0.16326980001758784,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim07_seed0_tucker
8,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.13353592157363892,17.488038409833116,0.852812156287043,2.098506287258313,-12.052606431072237,0.11027610301971436,19.15037213803496,0.7385563216856079,0.7361645000055432,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim08_seed0_ntdpl
8,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.1329924613237381,17.523459777905607,0.8528526626524493,2.790069668148974,-12.088027747214216,0.11060093343257904,19.124823850612568,0.7346298782469929,0.19956099998671561,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim08_seed0_tucker
9,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07486490905284882,22.514433695024994,0.8849145758416502,1.4003078028883975,-16.985018921761792,0.05866485834121704,24.632439251914597,0.7618562257137174,0.6976855000248179,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim09_seed0_ntdpl
9,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07812662422657013,22.14401887642707,0.8765944837953281,1.362888182387736,-16.614603898741844,0.06074213609099388,24.330198809547944,0.7579987242184961,0.19401259999722242,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim09_seed0_tucker
10,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.06994184106588364,23.105259383650193,0.9005432576963565,1.3224119841726099,-16.9121053618081,0.05570528283715248,25.082072381807716,0.7485014897978596,0.6925203000428155,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\run\kodim10_seed0_ntdpl
10,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.06947918981313705,23.16290484060891,0.9024195881283145,1.4370086743372203,-16.96975154178963,0.05538788437843323,25.13170442189964,0.7484973337305822,0.22158050001598895,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p2\benchmark\kodim10_seed0_tucker
