dataset,protocol,rank,target_shape,missing_rate,method,n_pairs,RMSE_missing_gain_mean_pct,RMSE_missing_gain_median_pct,RMSE_missing_wins,RMSE_missing_losses,RMSE_missing_min_gain_pct,RMSE_missing_max_gain_pct,SAM_missing_gain_mean_pct,SAM_missing_gain_median_pct,SAM_missing_wins,SAM_missing_losses,SAM_missing_min_gain_pct,SAM_missing_max_gain_pct,PSNR_missing_delta_mean,PSNR_missing_delta_median,PSNR_missing_wins,SSIM_missing_delta_mean,SSIM_missing_delta_median,SSIM_missing_wins
cave_hsi,block,"(12,12,3)","(128,128)",0.5,ntdpl,15,-1.3928011124064947,7.29897147922037,12,3,-83.79077506856711,18.759695133855818,27.00967038158298,26.276914359760568,15,0,15.427297302160628,44.485251043426615,0.0794053763513191,0.6583083650880415,12,0.03895269899781278,0.06089272977133986,11
cave_hsi,block,"(16,16,3)","(128,128)",0.5,ntdpl,15,2.9960139555606116,5.936585443122193,13,2,-51.64847035409851,17.239798935097227,23.37768342846956,22.225062868576455,15,0,13.971068402568577,44.374939727382205,0.3507684016162431,0.5315847146287886,13,0.04622522888012752,0.05144992687313965,13
cave_hsi,block,"(20,20,4)","(128,128)",0.5,ntdpl,15,6.488218929760266,6.57501173596521,14,1,-6.466863970353591,12.730983196734732,24.122435567292403,22.462291151422022,15,0,14.52658447006774,41.96841177499696,0.5919917071585327,0.5907387809743359,14,0.05335050837019657,0.06378761013525344,14
cave_hsi,block,"(24,24,4)","(128,128)",0.5,ntdpl,15,7.145383834309301,7.583141863859871,14,1,-1.9113591671703574,13.874880265350445,22.771559421494196,23.064786641246258,15,0,10.60551166758764,37.348014843721025,0.6498316219410457,0.6849763148096173,14,0.07152154202151244,0.08055565114146285,13
cave_hsi,random,"(12,12,3)","(128,128)",0.5,ntdpl,15,9.45225568552212,9.031919194718334,15,0,1.7315547615251399,23.386601505029795,10.575351131917667,9.084674464084397,12,3,-5.1857576788273265,25.644097571449564,0.8745267001881876,0.8222187063999904,15,0.007847632009073584,0.0048366771783378,15
cave_hsi,random,"(16,16,3)","(128,128)",0.5,ntdpl,15,9.68957003208969,8.854606971843328,15,0,2.490396745368626,24.554933267531137,11.201152419022192,9.347633317595138,14,1,-3.221562335554775,25.601446083746797,0.8980802239340285,0.8053058826966222,15,0.00690071765886929,0.003358704632619225,15
cave_hsi,random,"(20,20,4)","(128,128)",0.5,ntdpl,15,10.957332854929211,10.25221321993068,15,0,3.691407565856063,22.42249789631218,11.928929830298319,13.458640367486947,13,2,-9.026351128556014,29.01970292034688,1.019345071459678,0.93952512257016,15,0.005957782669817961,0.0027760218239178958,15
cave_hsi,random,"(24,24,4)","(128,128)",0.5,ntdpl,15,10.988848432397337,10.650579886697,15,0,4.454773907998821,22.788178633403263,12.497881616247506,13.370657078751016,13,2,-8.824722775207466,31.227805562831158,1.0237922432211262,0.978164899764991,15,0.005417689050748753,0.0019772528686627933,15
