missing_rate,scene_id,scene_name,residual_collapse_score,zero_baseline_r2,ntdpl_gain
0.3,1,balloons,0.017852748557792435,-8.01856465708628e-05,0.04226066264560418
0.3,2,beads,0.0743079180239316,-1.0120817900638457e-05,0.14721673536534585
0.3,3,cd,0.014388429861144969,-2.876510250645244e-05,0.15646818827802098
0.3,4,chart_and_stuffed_toy,0.025745593503527193,-7.56576592012929e-06,0.10079481846404
0.3,5,clay,0.03228142959914907,-0.00027160270666818737,0.15818084628765033
0.3,6,cloth,0.022489442612670902,-4.798097413953132e-05,0.04834750475538552
0.3,7,egyptian_statue,0.021193890302211898,-4.125965643068478e-06,-0.009202495642895584
0.3,8,face,0.013399747954198737,-6.267842532547974e-05,0.008731604805569974
0.3,9,fake_and_real_beers,0.012173264010916155,-1.0692792228613376e-05,-0.017035903835766746
0.3,10,fake_and_real_food,0.062217685473799765,-3.031429928420278e-05,0.14596013742856767
0.3,11,fake_and_real_lemon_slices,0.03196362300675163,-3.9204860316906696e-05,0.13477245221917578
0.3,12,fake_and_real_lemons,0.018216417058214935,-6.914057209472801e-05,-0.05146288031086217
0.3,13,fake_and_real_peppers,0.03293427640319657,-7.133284003849975e-06,0.10474128885235053
0.3,14,fake_and_real_strawberries,0.02781896598031819,-4.258116791685159e-05,0.012495772751199305
0.3,15,fake_and_real_sushi,0.015905241401776998,-1.5075717741804459e-05,0.07223706000029866
0.5,1,balloons,0.02141129657949048,-5.793662866275066e-06,0.04719534750239191
0.5,2,beads,0.07312986382591517,-1.8992158939301618e-05,0.1478068435463279
0.5,3,cd,0.012661546531319753,-3.1830677808356946e-06,0.1590453116725655
0.5,4,chart_and_stuffed_toy,0.03142400301230608,-0.0001017085986649846,0.10526944097573998
0.5,5,clay,0.029259668314082405,-0.0002879070868726519,0.15806356640193284
0.5,6,cloth,0.022531818296056366,-1.7720463236337025e-05,0.04738021699034246
0.5,7,egyptian_statue,0.021111330938206236,-2.8037108996533295e-05,-0.01074392445032516
0.5,8,face,0.012174476359694819,-1.8896659545501276e-05,0.007683040700607072
0.5,9,fake_and_real_beers,0.012104988812841203,-5.40747579220735e-05,-0.016079208479426
0.5,10,fake_and_real_food,0.0661260463179213,-4.792777511567851e-05,0.14684490885308754
0.5,11,fake_and_real_lemon_slices,0.02840437811366799,-3.0875952679476626e-05,0.12938695483674834
0.5,12,fake_and_real_lemons,0.02217777543255765,-2.59353875805927e-05,-0.04823072424556672
0.5,13,fake_and_real_peppers,0.03283006218252774,-1.6741029426725618e-05,0.10419828145848636
0.5,14,fake_and_real_strawberries,0.025525359651591823,-3.4680073338770136e-05,0.012981555245279684
0.5,15,fake_and_real_sushi,0.015302571605068094,-8.343516668303981e-05,0.07193469135132474
