domain,dataset,shape,rank,tucker_rmse,ntdpl_rmse,tucker_nmse_db,ntdpl_nmse_db,nmse_gain_pct,gain_pct,delta_nmse_db,delta_sam,delta_ssim
Hyperspectral,Jasper Ridge,100$\times$100$\times$198,"(11,11,43)",0.04622607305645943,0.043024692684412,-15.958396608563687,-16.58178114874669,13.371350105623089,6.925486333518606,0.623384540183002,0.9805756192027424,
Hyperspectral,Samson,95$\times$95$\times$156,"(10,10,35)",0.02625748286497367,0.024170296890696212,-19.37421124527875,-20.093633360119973,15.265984375826813,7.948918733035425,0.7194221148412225,0.057330193632786575,
Hyperspectral,Urban,307$\times$307$\times$162,"(43,43,47)",0.044443825240543494,0.042846575205867335,-13.208757441266894,-13.526663789507044,7.05856680873325,3.593862648031209,0.3179063482401503,0.2883233621013863,
Natural images,CBSD68,68$\times$96$\times$96$\times$3,"(20,32,32,3)",0.1326735615730285,0.1306633949279785,-11.272151765690078,-11.4047603408237,3.0072791254144446,1.5151222453190698,0.1326085751336219,1.3276840943580703,0.0056572987365032
Natural images,CIFAR-10,1000$\times$32$\times$32$\times$3,"(96,20,20,3)",0.0753233954310417,0.0724380612373352,-17.035375429400506,-17.37463635056269,7.514444828336918,3.830594966139073,0.3392609211621824,0.927639657109986,0.0036515178531241
Object views,COIL-100,8$\times$36$\times$48$\times$48$\times$3,"(4,8,12,12,2)",0.0991168767213821,0.0931496694684028,-10.16670985993666,-10.70603568251994,11.678300395553721,6.020374582376236,0.5393258225832813,4.534461876335596,0.0125155891540923
Object views,smallNORB,25$\times$18$\times$64$\times$64$\times$2,"(18,12,24,24,2)",0.0453802682459354,0.0429361164569854,-25.96675664220035,-26.447642317211496,10.481781133708239,5.385935084614404,0.4808856750111445,0.063552185214635,0.0063535577247455
