scene_id,scene_name,method,method_label,rank,target_shape,params,fit_time_sec,RMSE,SAM,NMSE_dB
1,balloons,tucker,Tucker,"(18, 18, 3)","(256, 256)",10281,1.226954799843952,0.020769605413079262,11.844822014218494,-20.178283159166725
1,balloons,ntdpl,NTD-PL(P=4),"(18, 18, 3)","(256, 256)",10286,10.623269899981096,0.019902074709534645,11.209708130433032,-20.548881486103475
1,balloons,spline,Joint Spline Link(K=8),"(18, 18, 3)","(256, 256)",10289,40.06279689981602,0.019689859822392464,11.142099495871065,-20.641995478272463
2,beads,tucker,Tucker,"(18, 18, 3)","(256, 256)",10281,1.4614482999313623,0.09867580980062485,30.265412469133416,-6.665091597418945
2,beads,ntdpl,NTD-PL(P=4),"(18, 18, 3)","(256, 256)",10286,10.806842599995434,0.09036287665367126,26.21661657877577,-7.429504870589319
2,beads,spline,Joint Spline Link(K=8),"(18, 18, 3)","(256, 256)",10289,40.880923100048676,0.08991502225399017,26.21292843607504,-7.4726602666316175
3,cd,tucker,Tucker,"(18, 18, 3)","(256, 256)",10281,1.4263628001790494,0.04306213557720184,31.31049889187795,-9.94674992426335
3,cd,ntdpl,NTD-PL(P=4),"(18, 18, 3)","(256, 256)",10286,10.746334000024945,0.04026150703430176,32.27577401723509,-10.530860870299785
3,cd,spline,Joint Spline Link(K=8),"(18, 18, 3)","(256, 256)",10289,40.28280510008335,0.039514973759651184,23.396709294555162,-10.693427846585255
