scene_id,pattern,seed,missing_rate,method,rank,rank_tuple,target_shape,observed_rate,RMSE_missing,SAM_missing,NMSE_dB_missing,RMSE_all,SAM_all,NMSE_dB_all,fit_time_sec,run_dir
1,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.13975732028484344,19.697872708816345,-3.6477128158844385,0.0998009517788887,13.884507096683446,-6.536765216296287,4.9631527999881655,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s01_seed0_ntdpl
1,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.14557733665561498,20.991975031759946,-3.2933291011870476,0.1039383213790096,14.59052431841559,-6.183945073557085,3.5269856000086293,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s01_seed0_tucker
2,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.23299096524715424,39.8216808103308,0.0341718820702545,0.1688026487827301,31.562996237140723,-1.9745837935540413,3.951856500003487,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s02_seed0_ntdpl
2,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.25180009518481083,58.598603019936704,0.7085079752439593,0.18300961136500465,43.41836868059997,-1.272690685613851,1.7421335999388248,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s02_seed0_tucker
3,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.11713286489248276,23.258975284468757,-1.8118244195429618,0.08450936526060104,15.938178531046967,-4.070028802992244,3.8315752999624237,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s03_seed0_ntdpl
3,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.12054623871177947,26.99777717417633,-1.5623263003515098,0.08708094628976114,17.818676950164864,-3.8096631486052948,1.6321616999339312,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s03_seed0_tucker
4,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.23123352229595184,24.042770497809578,-1.6412561883934984,0.16478091478347778,18.963720047607577,-5.063313625791984,3.859462200081907,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s04_seed0_ntdpl
4,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.2361178901267524,24.662408568739576,-1.4596938633220866,0.16826771780973604,19.682900706361675,-4.8814357564752235,1.7485646000131965,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s04_seed0_tucker
5,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1628621220588684,38.57566735883902,-1.2958741749616496,0.11605415493249893,34.161518456495976,-2.908931508469692,4.065435299999081,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s05_seed0_ntdpl
5,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.16924777498965346,44.06809684430324,-0.9618165948810032,0.12061385160290276,37.685573910209186,-2.574201899272926,1.6219916000263765,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s05_seed0_tucker
6,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.20419490337371826,25.351996835194644,-2.207768240646737,0.14824119210243225,16.678262924241412,-4.731657104130172,4.011991300038062,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s06_seed0_ntdpl
6,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.18935858663133553,29.974258472893165,-2.8629662702884575,0.13821146844614685,19.167545927956567,-5.340153243166803,1.800135700032115,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s06_seed0_tucker
7,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.08494465798139572,26.623072347224575,-1.9520913612136561,0.06052384898066521,22.155201970954757,-5.5805213769412,3.8235134000424296,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s07_seed0_ntdpl
7,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.09169089649496844,28.953870235576698,-1.2882886898926094,0.06530812014600082,23.285978005018276,-4.919708559374855,1.737835899926722,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s07_seed0_tucker
8,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.20203791558742523,26.176073353846068,-1.8586262546100785,0.14432720839977264,20.83342041250871,-3.60146315380454,3.782835900085047,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s08_seed0_ntdpl
8,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.21197480413936726,36.36058866384366,-1.4415986624265356,0.15154979065002003,27.554111977190068,-3.177320581992226,1.7986489000031725,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s08_seed0_tucker
9,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1553281843662262,40.73829043430442,-1.3764332357552709,0.11084982007741928,32.405622481812344,-3.64132885388561,3.7634445000439882,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s09_seed0_ntdpl
9,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.16195228737641293,45.87889107346454,-1.0136972465291034,0.11559804110621374,37.1958763749972,-3.277019091688768,1.6670146000105888,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s09_seed0_tucker
10,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.14027047157287598,26.099798089659533,-3.1863119481691116,0.10035271942615509,18.648182821845225,-5.450737712129258,4.04950279998593,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s10_seed0_ntdpl
10,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.14975739794111395,29.974881638811187,-2.617871717075731,0.10711491010668797,20.636438304841025,-4.884322118328502,1.6318265999434516,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s10_seed0_tucker
11,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1706167310476303,26.531498349950663,-3.239261118813564,0.12254087626934052,17.80604258774293,-5.778597631860486,3.8051218000473455,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s11_seed0_ntdpl
11,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1720196489657947,29.141008538570322,-3.1681324466617022,0.12378975948513837,19.722037223549144,-5.690522965080388,1.665212000021711,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s11_seed0_tucker
12,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.2589016854763031,23.912106663947657,-3.5098130521086466,0.18447910249233246,16.899915832672256,-6.146990311736721,3.916700500063598,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s12_seed0_ntdpl
12,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.2655362416502316,26.53389447125557,-3.290034920651607,0.18929972631574965,18.797706900981296,-5.922933936297587,1.6960179000161588,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s12_seed0_tucker
13,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1827971190214157,30.27289759870142,-2.062875029338807,0.1304829865694046,25.85337385509264,-4.706029142318822,3.739791200030595,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s13_seed0_ntdpl
13,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.19071454552112596,33.131466142990135,-1.6945853876232904,0.13615177441209447,28.04192295363293,-4.336640177815684,1.6825568000786006,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s13_seed0_tucker
14,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1185564249753952,28.32913141823008,-1.2934610794986678,0.0846770852804184,20.090050115410783,-2.9200343050040174,3.7597818000940606,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s14_seed0_ntdpl
14,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.12284970841998617,32.63464137342465,-0.9844801755932717,0.08774144844028624,22.304803203759775,-2.6112568179036693,1.6556048999773338,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s14_seed0_tucker
15,block,0,0.5,ntdpl,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.12951485812664032,29.94554051701951,-2.42137258753683,0.09256138652563095,23.694410670682203,-5.180164907758988,3.597600599983707,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s15_seed0_ntdpl
15,block,0,0.5,tucker,"(24,24,4)","(24, 24, 4)","(128,128)",0.49395751953125,0.1350704254560762,33.372129418353204,-2.0565591867846926,0.096550673501772,25.971397302986315,-4.813655477958244,1.691899900091812,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s15_seed0_tucker
