method,RMSE_missing_mean,RMSE_missing_std,SAM_missing_mean,SAM_missing_std,NMSE_dB_all_mean,NMSE_dB_all_std,fit_time_sec_mean,fit_time_sec_std,n_scenes
tucker,0.015608245741475185,0.005515120566833336,14.478292563207312,9.173836680196509,-21.925101476286187,2.735202158726214,535.1826289333306,26.284507007644702,3
polycal,0.015483683906495571,0.005439978410476054,14.12161803158183,8.971558576620689,-21.990123322280766,2.7167340140624265,0.44939726664839935,0.038058028489304056,3
mlpcal,0.015540673087040583,0.00547958366477145,14.268291240789305,9.059392564109649,-21.96181207063877,2.7269301043051164,11.064299833320547,1.2099950842481002,3
ntdpl,0.013714914520581564,0.004613435280365672,12.828458691671157,9.153313156052551,-23.03237329878805,2.5274299860296874,1214.2719318666684,503.2399235239304,3
