image_id,seed,missing_rate,method,rank,target_shape,observed_rate,RMSE_missing,PSNR_missing,SSIM_missing,SAM_missing,NMSE_dB_missing,RMSE_all,PSNR_all,SSIM_all,fit_time_sec,run_dir
1,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07711514085531235,22.257206994099143,0.88827612373378,1.4169289677677788,-15.162712424231081,0.06398798525333405,23.87803190414636,0.7884816380926329,1.4814019999466836,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim01_seed0_ntdpl
1,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07796069234609604,22.162486203467534,0.8862972022069566,1.5018135169123565,-15.067991945021697,0.0647701844573021,23.772497862104423,0.7825215237190299,0.15298649994656444,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim01_seed0_tucker
2,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.060248978435993195,24.401006223129258,0.9587540155448688,1.763093808097814,-15.674805350395625,0.04733406379818916,26.496523739750675,0.7051449104189356,0.661367499968037,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim02_seed0_ntdpl
2,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.06242762878537178,24.092463341793643,0.9560744156909553,1.877877547562009,-15.366262231499404,0.048697181046009064,26.249923193877883,0.7040722974572425,0.19737889990210533,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim02_seed0_tucker
3,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.08756079524755478,21.153806476630344,0.8808618952161976,2.6062247737531843,-13.575211630485418,0.07240679860115051,22.804413259120075,0.6477945758293867,0.7626394999679178,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim03_seed0_ntdpl
3,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.09172052890062332,20.750668823037582,0.87196647046781,3.4261731408094387,-13.172074310277083,0.07569225132465363,22.41897161008541,0.644127841682617,0.18345080001745373,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim03_seed0_tucker
4,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.0699746310710907,23.10118742488255,0.9309592070648873,2.3007231099642063,-15.700465709296477,0.05791565030813217,24.74408129870557,0.7132939231552274,0.760422500083223,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim04_seed0_ntdpl
4,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07038159668445587,23.05081729099911,0.9302654578616429,2.5972070895159565,-15.650096069086842,0.05831655487418175,24.684162177717738,0.711612567051947,0.169513100059703,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim04_seed0_tucker
5,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.1404411345720291,17.0501136661738,0.7191381136139929,4.090844598254265,-8.359838429956627,0.11603158712387085,18.7084757918644,0.626750365687539,0.7008910999866202,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim05_seed0_ntdpl
5,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.14342240989208221,16.867660308503215,0.7116241372417837,6.227419912730046,-8.177385346760769,0.11933745443820953,18.46446495543002,0.6119486991674777,0.20913499989546835,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim05_seed0_tucker
6,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.08173737674951553,21.751585915603528,0.940774749965465,1.4413052474601544,-16.56315927238367,0.06489163637161255,23.756225181635106,0.6867113776041135,0.697027700021863,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim06_seed0_ntdpl
6,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.08608882129192352,21.301064431567273,0.9349652020307653,1.5383006225925029,-16.1126376748214,0.06781331449747086,23.37370106341421,0.6763529154112847,0.19263850001152605,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim06_seed0_tucker
7,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.09005481749773026,20.909860888593194,0.8493196349172867,2.6311330884113153,-13.775548875789909,0.0735328420996666,22.670373031500194,0.7329791328128797,0.7200292999623343,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim07_seed0_ntdpl
7,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.08751735836267471,21.15811544295226,0.8561800555349153,2.9724267853547497,-14.023803645951354,0.07237935811281204,22.807705343669088,0.7298141454285846,0.16097490000538528,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim07_seed0_tucker
8,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.13086450099945068,17.66356240611029,0.8560495998461083,2.3320360664116238,-12.22813083796688,0.10730737447738647,19.387408179452358,0.7475618795062776,0.7272964000003412,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim08_seed0_ntdpl
8,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.1329924613237381,17.523459777905607,0.8528526626524493,2.790069668148974,-12.088027747214216,0.11060093343257904,19.124823850612568,0.7346298782469929,0.1784542000386864,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim08_seed0_tucker
9,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07857637852430344,22.09415975215434,0.8741784432534546,1.1858625304892956,-16.56474451178914,0.06089918687939644,24.30777044973025,0.7633098133889686,0.7284062999533489,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim09_seed0_ntdpl
9,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07812662422657013,22.14401887642707,0.8765944837953281,1.362888182387736,-16.614603898741844,0.06074213609099388,24.330198809547944,0.7579987242184961,0.21340859995689243,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim09_seed0_tucker
10,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.06703587621450424,23.47385395100995,0.9078433020992266,1.260922514765121,-17.28070070661965,0.053858786821365356,25.374869248364142,0.7489877247368874,0.7401141000445932,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim10_seed0_ntdpl
10,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.06947918981313705,23.16290484060891,0.9024195881283145,1.4370086743372203,-16.96975154178963,0.05538788437843323,25.13170442189964,0.7484973337305822,0.20664420002140105,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim10_seed0_tucker
11,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07908029109239578,22.038634958833356,0.8921844774905596,2.6144066103920074,-13.861672415195434,0.06339990347623825,23.958228136529574,0.7320938997600593,0.698721699998714,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim11_seed0_ntdpl
11,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.08262498676776886,21.657771989043795,0.8839107504852455,4.164757252476724,-13.480808871407582,0.06608381122350693,23.59809862656339,0.717632491547497,0.1992336999392137,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim11_seed0_tucker
12,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07052192091941833,23.033516902488692,0.9313769516917009,1.0758040590782338,-19.095186714095554,0.053953833878040314,25.359553361538477,0.7567666524658598,0.705190800013952,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim12_seed0_ntdpl
12,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07541223615407944,22.451164311999023,0.9220713961396522,1.2180900275147803,-18.512833702505837,0.05741777643561363,24.819072480691155,0.7492163871690788,0.15601130004506558,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim12_seed0_tucker
13,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.14436662197113037,16.8106634372637,0.7865721104275404,2.7278707906998223,-9.90432221532415,0.1142764464020729,18.840865817380955,0.6261632410058264,0.7344591000583023,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim13_seed0_ntdpl
13,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.1300751268863678,17.7161148047661,0.8187633282408997,3.086911786362936,-10.809773642105892,0.10616561770439148,19.48032181576576,0.6162302146004411,0.203889700002037,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim13_seed0_tucker
14,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.11531428247690201,18.762337858518414,0.8331214306393768,3.3084988452743156,-10.911329703429136,0.09372016787528992,20.563339084127286,0.6105353228020912,0.7611156000057235,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim14_seed0_ntdpl
14,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.11892829835414886,18.494296058507594,0.8269292733188316,4.729692529883259,-10.643287688732512,0.09693669527769089,20.27023515775825,0.6014257447221075,0.1982004001038149,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim14_seed0_tucker
15,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07084058970212936,22.994357069661007,0.9758827525072652,2.7326901702327264,-17.480018173897736,0.058439433574676514,24.66588020394432,0.7379998675393259,0.6975839000660926,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim15_seed0_ntdpl
15,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07584203779697418,22.401800162972187,0.9724736740910322,4.676926901026045,-16.88746140124005,0.0634988471865654,23.944683084936976,0.7079730267924886,0.15258420002646744,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim15_seed0_tucker
16,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.053494036197662354,25.433892901068518,0.9510093639759112,1.0576750571293652,-18.149535200394485,0.04353674128651619,27.222881719926157,0.744804735355844,0.6954326999839395,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim16_seed0_ntdpl
16,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.05352083221077919,25.429543190281954,0.9509822185862176,1.086451677408564,-18.14518537088645,0.0435512401163578,27.21998980434822,0.7435901571073766,0.17912210000213236,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim16_seed0_tucker
17,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.0690746009349823,23.213632348068465,0.9337049124291176,2.2157413487571067,-14.216725572886075,0.05596800521016121,25.041203397693433,0.7805292797262101,0.800167000037618,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim17_seed0_ntdpl
17,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07084008306264877,22.994418629575858,0.930276443100077,3.7599219437698395,-13.997511966814006,0.05788148194551468,24.74920733418779,0.7539388312652034,0.17105140001513064,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim17_seed0_tucker
18,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.10202852636575699,19.825567965272015,0.7922867884784408,3.854612543469356,-9.643147127207039,0.08268082141876221,21.651904422532176,0.6095106917135206,0.7145403999602422,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\run\kodim18_seed0_ntdpl
18,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.10762567818164825,19.36168197029055,0.7739808665708506,5.22243641675679,-9.179261159451478,0.08689746260643005,21.21985768226596,0.593732619519686,0.21007890009786934,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion\benchmark\kodim18_seed0_tucker
