method,RMSE_missing_mean,RMSE_missing_std,SAM_missing_mean,SAM_missing_std,NMSE_dB_all_mean,NMSE_dB_all_std,fit_time_sec_mean,fit_time_sec_std,n_scenes
tucker,0.026361898764786038,0.017910010018803036,15.576124059396674,6.811135958501304,-18.75117550197157,4.579667247429616,529.702654926667,24.85022593959973,15
polycal,0.02585755499700705,0.0172967873140737,14.362359465682857,5.7210939315084115,-18.88149498582943,4.536156811770892,0.4034959666624976,0.05071332846708736,15
mlpcal,0.025883586580554643,0.017313944172400335,14.505382627412352,5.831685321964696,-18.874369047230875,4.541839829577308,9.903546233327749,2.104025420130572,15
ntdpl,0.022971169836819173,0.015792859429373456,13.464661037020745,5.755579736335647,-19.942539135855853,4.671752627155556,1480.9763311999975,662.9784077266065,15
