scene_id,pattern,seed,missing_rate,method,rank,observed_rate,RMSE_missing,SAM_missing,NMSE_dB_missing,RMSE_all,SAM_all,NMSE_dB_all,fit_time_sec,run_dir
1,block,0,0.5,ntdpl,"(24,24,4)",0.49395751953125,0.13975732028484344,19.697872708816345,-3.6477128158844385,0.0998009517788887,13.884507096683446,-6.536765216296287,4.9631527999881655,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s01_seed0_ntdpl
1,block,0,0.5,tucker,"(24,24,4)",0.49395751953125,0.14557733665561498,20.991975031759946,-3.2933291011870476,0.1039383213790096,14.59052431841559,-6.183945073557085,3.5269856000086293,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s01_seed0_tucker
5,block,0,0.5,ntdpl,"(24,24,4)",0.49395751953125,0.1628621220588684,38.57566735883902,-1.2958741749616496,0.11605415493249893,34.161518456495976,-2.908931508469692,4.065435299999081,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s05_seed0_ntdpl
5,block,0,0.5,tucker,"(24,24,4)",0.49395751953125,0.16924777498965346,44.06809684430324,-0.9618165948810032,0.12061385160290276,37.685573910209186,-2.574201899272926,1.6219916000263765,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s05_seed0_tucker
10,block,0,0.5,ntdpl,"(24,24,4)",0.49395751953125,0.14027047157287598,26.099798089659533,-3.1863119481691116,0.10035271942615509,18.648182821845225,-5.450737712129258,4.04950279998593,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\block_s10_seed0_ntdpl
10,block,0,0.5,tucker,"(24,24,4)",0.49395751953125,0.14975739794111395,29.974881638811187,-2.617871717075731,0.10711491010668797,20.636438304841025,-4.884322118328502,1.6318265999434516,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\block_s10_seed0_tucker
1,spectral-band,0,0.5,ntdpl,"(24,24,4)",0.4838709677419355,0.15818288922309875,25.22436834988161,-2.4680688812885725,0.11417081207036972,27.0738184469049,-5.368357076537805,3.4845702999737114,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\spectral_band_s01_seed0_ntdpl
1,spectral-band,0,0.5,tucker,"(24,24,4)",0.4838709677419355,0.15289223768099383,25.22436422246042,-2.7635498371847427,0.11044669943840947,27.10050686195205,-5.656404204809878,0.9052978999679908,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\spectral_band_s01_seed0_tucker
5,spectral-band,0,0.5,ntdpl,"(24,24,4)",0.4838709677419355,0.13846445083618164,44.293473280520736,-0.773668627280337,0.09987474232912064,41.302118026204965,-4.213031729180077,3.3935113000916317,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\run\spectral_band_s05_seed0_ntdpl
5,spectral-band,0,0.5,tucker,"(24,24,4)",0.4838709677419355,0.13682870503392625,44.29347341928694,-0.8768899516519918,0.09878047470906776,41.86626721274142,-4.3087234440300035,0.8982381999958307,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-cave-structured-missing\benchmark\spectral_band_s05_seed0_tucker
