missing_rate,score_tertile,beta_refresh_score_mean,ntdpl_gain_mean,joint_extra_gain_mean,n_scenes
0.1,low,0.0018310977724461087,0.007520114560075633,0.005689016787629399,5
0.1,mid,0.004973155578591104,0.07921963772959544,0.07424648215100163,5
0.1,high,0.018785735181565687,0.12631652588198752,0.10753079070041953,5
0.3,low,0.001751707002323097,-0.01129478044655068,-0.01304648744887094,5
0.3,mid,0.004751091054290597,0.09096125643629327,0.08621016538199792,5
0.3,high,0.019150111812052534,0.13123468242299535,0.11208457061093798,5
0.5,low,0.0017731663211179006,-0.010877852245886886,-0.01265101856700177,5
0.5,mid,0.00484772978484665,0.09159694322493775,0.0867492134400888,5
0.5,high,0.01917074072670967,0.1318281694928515,0.11265742876613963,5
0.7,low,0.0018964870224362725,-0.006240479321800699,-0.008136966344234834,5
0.7,mid,0.004648146531187479,0.09221047940892817,0.08756233287773418,5
0.7,high,0.018655898685859568,0.13072162053165773,0.11206572184579458,5
