ntdpl_rank,ntdpl_params,ntdpl_time,ntdpl_rmse,ntdpl_sam,tucker_rank,tucker_params,tucker_time,tucker_rmse,tucker_sam,extra_params_pct,time_ratio
"(18,18,3)",19504,192.12251874000452,0.0318973244290325,19.23102462097082,"(28,28,3)",31117,9.572265620009665,0.0315664323408517,21.40810261116152,59.54163248564397,20.070746714173456
"(24,24,4)",27011,268.5146156866666,0.02564,15.154,"(35,35,4)",40864,5.922161859999566,0.0254197232126354,16.260779809662026,51.286512902150974,45.34064114328113
"(33,33,4)",38279,284.9874146466648,0.02234,14.408,"(49,49,4)",59904,14.66442548665218,0.0221819896961984,15.277016032411815,56.493116330102666,19.43392974420071
