method,method_label,params,RMSE_mean,RMSE_std,SAM_mean,SAM_std,NMSE_dB_mean,NMSE_dB_std,fit_time_sec_mean,fit_time_sec_std,n_scenes
tucker,Tucker,10281.0,0.05416918359696865,0.04012317356969113,24.473577791743285,10.94929932799472,-12.263374893616339,7.048166426993275,1.3715886333181213,0.1264790789509975,3
ntdpl,NTD-PL(P=4),10286.0,0.050175486132502556,0.036261500090624815,23.23403290881463,10.845120423398283,-12.836415742330859,6.8568358698370915,10.725482166667158,0.09354588854366715,3
spline,Joint Spline Link(K=8),10289.0,0.049706618612011276,0.03620491096845218,20.250579075500422,8.012869196028317,-12.936027863829779,6.865113881586358,40.40884169998268,0.42337517435770655,3
