setting,response,seed,dictionary,RMSE,gain_vs_tucker
controlled,tanh,0,tucker,0.15675193071365356,0.0
controlled,tanh,0,power,0.15671387314796448,0.024278849718673345
controlled,tanh,0,chebyshev,0.15671387314796448,0.024278849718673345
controlled,tanh,0,rbf,0.15671387314796448,0.024278849718673345
controlled,tanh,0,spline,0.15669797360897064,0.03442197135133758
controlled,exp,0,tucker,0.025165505707263947,0.0
controlled,exp,0,power,0.025165751576423645,-0.000977008618696333
controlled,exp,0,chebyshev,0.025165751576423645,-0.000977008618696333
controlled,exp,0,rbf,0.025165751576423645,-0.000977008618696333
controlled,exp,0,spline,0.025161413475871086,0.01626127223693821
