dictionary,label,capacity,tanh_rmse,tanh_gain,exp_rmse,exp_gain,cave_rmse,cave_sam,cave_rmse_gain,cave_sam_gain
power,Power,$P=4$,0.15671387314796448,0.024278849718673345,0.025165751576423645,-0.000977008618696333,0.07819747924804688,23.302892435922004,2.964112074151757,-4.185382239696201
chebyshev,Chebyshev,$P=4$,0.15671387314796448,0.024278849718673345,0.025165751576423645,-0.000977008618696333,0.07819747924804688,23.302892245766312,2.964112074151757,-4.1853813895251974
rbf,RBF,$K=6$,0.15671387314796448,0.024278849718673345,0.025165751576423645,-0.000977008618696333,0.07819747924804688,23.302892435922004,2.964112074151757,-4.185382239696201
spline,Spline,$K=8$,0.15669797360897064,0.03442197135133758,0.025161413475871086,0.01626127223693821,0.07819729298353195,23.302910027783927,2.9643432113030874,-4.1854608915143725
