domain,dataset,num_units,median_d_link,mean_d_link,spearman_dlink_gain,mean_gain,median_gain,low_tercile_gain,mid_tercile_gain,high_tercile_gain,num_effective,num_boundary
Natural images,CBSD68,3,0.0734801961482842,0.15542651765798068,0.5,9.6272576051411,7.502824112866563,7.502824112866563,4.691076484639205,16.687872217917533,1,1
Natural images,CIFAR-10,3,0.03144107081051698,0.03391595605911706,0.5,5.778868141361489,5.503633192112956,3.763377564475779,8.069593667495731,5.503633192112956,1,1
Object-view,COIL-100,3,0.31142720235491994,0.4372967651040553,1.0,8.337041056088657,6.483755362780362,5.1902204521841595,6.483755362780362,13.337147353301445,1,1
Object-view,smallNORB,3,0.15692278142175003,0.20983286488718825,1.0,7.600235203457859,6.236486701448142,4.510289601919034,6.236486701448142,12.0539293070064,1,1
